backup	backup	raw	*	
ST307	panaroo	raw	acpP	8.73583e-06
ST258	panaroodefault	snippy	aaeX	2.34605e-05
ST258	panacota	snippy	KLPN_ST258-10055	0
ST307	panaroo	snippy	acpP	8.63636e-06
ST307	panaroodefault	snippy	acpP	8.63636e-06
ST258	panaroo	snippy	aas_2~~~aas~~~aas_1	8.08492e-06
ST307	roarydefault	raw	aas	3.83604e-06
ST307	roarydefault	snippy	aas	3.79636e-06
ST307	panaroodefault	raw	acpP	8.73583e-06
ST258	panaroo	raw	aas_2~~~aas~~~aas_1	1.32613e-05
ST307	panacota	snippy	KLPN_ST307-10194	0
ST258	roarydefault	raw	aaeB_2	2.43513e-06
ST307	panaroodefault	snippy	acr1~~~hcaB	3.25536e-05
ST258	panaroodefault	raw	aas_2~~~aas~~~aas_1	1.32613e-05
ST307	panaroo	raw	acr1~~~hcaB	3.52257e-05
ST307	panacota	raw	KLPN_ST307-10194	0
ST258	panacota	raw	KLPN_ST258-10056	4.13768e-06
ST307	panaroo	snippy	acr1~~~hcaB	3.25536e-05
ST307	roarydefault	raw	aat	0
ST307	roarydefault	snippy	aat	0
ST307	panaroodefault	raw	acr1~~~hcaB	3.52257e-05
ST258	panaroodefault	snippy	aas_2~~~aas~~~aas_1	8.08492e-06
ST258	roarydefault	snippy	aaeB_2	1.62147e-06
ST258	panaroo	snippy	aat~~~aat_2~~~aat_1	1.36297e-05
ST307	panacota	snippy	KLPN_ST307-10195	2.41345e-05
ST258	panacota	snippy	KLPN_ST258-10056	0
ST307	panacota	raw	KLPN_ST307-10195	2.43371e-05
ST258	panaroo	raw	aat~~~aat_2~~~aat_1	1.36315e-05
ST307	panaroo	raw	acrB_3~~~acrF_2	0.000155596
ST307	panaroodefault	snippy	acrB_3~~~acrF_2	0.000153795
ST307	roarydefault	snippy	abaF_1	1.21985e-05
ST258	roarydefault	raw	aaeX	2.3473e-05
ST307	roarydefault	raw	abaF_1	2.65673e-05
ST307	panaroo	snippy	acrB_3~~~acrF_2	0.000153795
ST258	panaroodefault	raw	aat~~~aat_2~~~aat_1	1.36315e-05
ST307	panaroodefault	raw	acrB_3~~~acrF_2	0.000155596
ST258	panacota	raw	KLPN_ST258-10057	2.06978e-05
ST307	panacota	snippy	KLPN_ST307-10196	0
ST258	panaroo	snippy	abgB	2.33358e-06
ST258	panaroodefault	snippy	aat~~~aat_2~~~aat_1	1.36297e-05
ST258	roarydefault	snippy	aaeX	2.34605e-05
ST307	panaroo	raw	acrR_1	0.00012166
ST307	panacota	raw	KLPN_ST307-10196	0
ST307	roarydefault	snippy	abaF_2	0.000129471
ST307	panaroo	snippy	acrR_1	6.57532e-05
ST307	roarydefault	raw	abaF_2	0.000132754
ST258	panaroo	raw	abgB	1.10562e-06
ST307	panaroodefault	snippy	acrR_1	6.57532e-05
ST307	panaroodefault	raw	acrR_1	0.00012166
ST258	roarydefault	raw	aas	8.13397e-06
ST258	panacota	snippy	KLPN_ST258-10057	2.0584e-05
ST258	panaroodefault	raw	abgB	1.10562e-06
ST307	panacota	snippy	KLPN_ST307-10197	1.38377e-05
ST307	panacota	raw	KLPN_ST307-10197	1.39384e-05
ST307	panaroo	raw	acrZ	0
ST307	panaroo	snippy	acrZ	0
ST307	roarydefault	snippy	abgB	2.60986e-05
ST307	roarydefault	raw	abgB	4.12037e-05
ST258	panaroo	snippy	accA	3.32403e-06
ST258	panacota	raw	KLPN_ST258-10059	9.49344e-06
ST307	panaroodefault	raw	acrZ	0
ST307	panaroodefault	snippy	acrZ	0
ST258	panaroodefault	snippy	abgB	2.33358e-06
ST258	panaroo	raw	accA	3.32802e-06
ST307	panaroo	raw	acs_1~~~acs_2	4.02859e-05
ST307	panacota	snippy	KLPN_ST307-10198	0
ST258	roarydefault	snippy	aas	8.08492e-06
ST258	roarydefault	raw	aat	1.36424e-05
ST307	panacota	raw	KLPN_ST307-10198	0
ST307	panaroo	snippy	acs_1~~~acs_2	1.04809e-06
ST307	roarydefault	raw	abgT	0.000105326
ST307	roarydefault	snippy	abgT	3.9609e-06
ST258	panacota	snippy	KLPN_ST258-10059	4.71225e-06
ST307	panaroodefault	raw	acs_1~~~acs_2	4.02859e-05
ST307	panaroodefault	snippy	acs_1~~~acs_2	1.04809e-06
ST258	panaroodefault	raw	accA	3.32802e-06
ST307	panaroo	raw	add_1~~~add_2	1.23788e-05
ST258	panaroo	snippy	accD_2~~~accD_1	1.62083e-06
ST307	panacota	snippy	KLPN_ST307-10199	6.6843e-05
ST258	panaroodefault	snippy	accA	3.32403e-06
ST307	panacota	raw	KLPN_ST307-10199	6.71981e-05
ST307	roarydefault	raw	accA	4.31333e-06
ST307	roarydefault	snippy	accA	2.14774e-06
ST307	panaroo	snippy	add_1~~~add_2	1.91225e-06
ST258	panacota	raw	KLPN_ST258-10060	8.91006e-06
ST307	panaroodefault	snippy	add_1~~~add_2	1.91225e-06
ST258	roarydefault	snippy	aat	1.36297e-05
ST258	panaroo	raw	accD_2~~~accD_1	1.62212e-06
ST307	panaroodefault	raw	add_1~~~add_2	1.23788e-05
ST258	roarydefault	raw	abaF_1	1.33536e-05
ST307	panaroo	raw	ade	1.05629e-05
ST307	panacota	raw	KLPN_ST307-10201	0
ST307	roarydefault	raw	accB	4.42849e-06
ST307	panacota	snippy	KLPN_ST307-10201	0
ST258	panacota	snippy	KLPN_ST258-10060	1.95609e-06
ST307	panaroo	snippy	ade	1.05179e-05
ST258	panaroo	snippy	aceB	6.97054e-06
ST307	panaroodefault	snippy	ade	1.05179e-05
ST258	panaroodefault	raw	accD_2~~~accD_1	1.62212e-06
ST307	roarydefault	snippy	accB	4.14914e-06
ST307	panaroo	raw	adh_2	5.2218e-06
ST307	panaroodefault	raw	ade	1.05629e-05
ST258	panaroodefault	snippy	accD_2~~~accD_1	1.62083e-06
ST307	panacota	raw	KLPN_ST307-10202	3.67939e-05
ST307	roarydefault	raw	accC	1.53521e-06
ST258	roarydefault	snippy	abaF_1	1.20252e-05
ST258	panaroo	raw	aceB	7.94747e-06
ST258	panacota	raw	KLPN_ST258-10061	1.26337e-05
ST307	panacota	snippy	KLPN_ST307-10202	3.65282e-05
ST258	roarydefault	raw	abaF_2	1.24902e-05
ST307	panaroo	snippy	adh_2	5.17113e-06
ST307	panaroo	raw	alaE	4.6248e-06
ST307	panaroodefault	snippy	adh_2	5.17113e-06
ST307	panaroodefault	raw	adh_2	5.2218e-06
ST307	roarydefault	snippy	accC	1.52092e-06
ST307	roarydefault	raw	accD	0
ST307	panacota	raw	KLPN_ST307-10203	0
ST258	panacota	snippy	KLPN_ST258-10061	3.5199e-05
ST258	panaroo	snippy	aceE_2~~~aceE_1	1.19574e-05
ST258	panaroodefault	raw	aceB	7.94747e-06
ST307	panaroo	snippy	alaE	4.57678e-06
ST307	panaroo	raw	ald1	5.25966e-05
ST258	panaroodefault	snippy	aceB	6.97054e-06
ST307	panacota	snippy	KLPN_ST307-10203	0
ST307	panaroodefault	snippy	alaE	4.57678e-06
ST307	panaroodefault	raw	alaE	4.6248e-06
ST307	roarydefault	snippy	accD	0
ST258	roarydefault	snippy	abaF_2	7.14279e-06
ST258	roarydefault	raw	abgB_1	7.72692e-06
ST258	panaroo	raw	aceE_2~~~aceE_1	1.25723e-05
ST258	panacota	raw	KLPN_ST258-10062	1.23565e-05
ST307	panacota	raw	KLPN_ST307-10204	2.37487e-05
ST307	roarydefault	raw	aceA	9.39786e-06
ST307	panaroo	snippy	ald1	5.11182e-05
ST307	panaroo	raw	aldA	3.74377e-05
ST307	panaroodefault	snippy	ald1	5.11182e-05
ST258	panacota	snippy	KLPN_ST258-10062	6.6188e-06
ST307	panaroodefault	raw	ald1	5.25966e-05
ST307	panacota	snippy	KLPN_ST307-10204	2.11242e-05
ST307	roarydefault	snippy	aceA	9.3573e-06
ST258	panaroo	snippy	aceF_1~~~aceF_2~~~aceF	4.98204e-06
ST307	roarydefault	raw	aceB	2.58208e-06
ST258	panaroodefault	snippy	aceE_2~~~aceE_1	1.19574e-05
ST258	panaroodefault	raw	aceE_2~~~aceE_1	1.25723e-05
ST307	panacota	raw	KLPN_ST307-10205	7.09294e-06
ST307	panaroo	snippy	aldA	2.78922e-06
ST307	panaroo	raw	ansP2	1.55577e-05
ST258	roarydefault	raw	abgB_2	2.34106e-06
ST258	panaroo	raw	aceF_1~~~aceF_2~~~aceF	3.96785e-05
ST307	panaroodefault	snippy	aldA	2.78922e-06
ST307	panaroodefault	raw	aldA	3.74377e-05
ST258	panacota	raw	KLPN_ST258-10063	1.05234e-05
ST307	roarydefault	snippy	aceB	2.54596e-06
ST258	roarydefault	snippy	abgB_1	1.4775e-05
ST307	roarydefault	raw	aceE	5.44585e-06
ST307	panacota	snippy	KLPN_ST307-10205	7.06727e-06
ST258	panacota	snippy	KLPN_ST258-10063	9.51781e-06
ST307	panacota	raw	KLPN_ST307-10206	1.26099e-06
ST307	panaroo	snippy	ansP2	1.3904e-05
ST307	panaroo	raw	apbC	3.67458e-05
ST258	panaroo	snippy	aceK	0.000231295
ST307	panaroodefault	raw	ansP2	1.55577e-05
ST307	panaroodefault	snippy	ansP2	1.3904e-05
ST258	panaroodefault	raw	aceF_1~~~aceF_2~~~aceF	3.96785e-05
ST307	roarydefault	snippy	aceE	2.24785e-06
ST258	panaroodefault	snippy	aceF_1~~~aceF_2~~~aceF	4.98204e-06
ST307	roarydefault	raw	aceF	7.65555e-06
ST307	panacota	snippy	KLPN_ST307-10206	1.25577e-06
ST258	panaroo	raw	aceK	0.000232421
ST258	roarydefault	raw	abgT	9.4026e-06
ST307	panacota	raw	KLPN_ST307-10207	0
ST307	panaroo	raw	aplK_1~~~aplK_2	5.28236e-05
ST307	panaroo	snippy	apbC	3.6393e-05
ST258	panacota	raw	KLPN_ST258-10064	7.65552e-06
ST258	roarydefault	snippy	abgB_2	2.33358e-06
ST307	roarydefault	snippy	aceF	0
ST307	panaroodefault	snippy	apbC	3.6393e-05
ST307	panaroodefault	raw	apbC	3.67458e-05
ST307	roarydefault	raw	aceK	2.31736e-06
ST307	panacota	snippy	KLPN_ST307-10207	0
ST258	panacota	snippy	KLPN_ST258-10064	5.09146e-06
ST258	panaroo	snippy	acnA	7.13757e-06
ST307	panacota	raw	KLPN_ST307-10208	5.0479e-06
ST307	panaroo	snippy	aplK_1~~~aplK_2	4.45421e-05
ST258	panaroodefault	raw	aceK	0.000232421
ST258	panaroo	raw	acnA	1.07457e-05
ST307	roarydefault	snippy	aceK	2.29335e-06
ST307	panaroo	raw	aptB_2~~~aptB	0
ST258	panaroodefault	snippy	aceK	0.000231295
ST307	panaroodefault	snippy	aplK_1~~~aplK_2	4.45421e-05
ST258	roarydefault	raw	accA	3.32802e-06
ST307	panaroodefault	raw	aplK_1~~~aplK_2	5.28236e-05
ST307	roarydefault	raw	ackA	0.000150998
ST258	panacota	raw	KLPN_ST258-10065	3.87093e-06
ST307	panacota	snippy	KLPN_ST307-10208	1.67567e-06
ST258	roarydefault	snippy	abgT	9.37676e-06
ST307	panaroo	snippy	aptB_2~~~aptB	0
ST307	panaroo	raw	apxIB	3.92029e-05
ST307	roarydefault	snippy	ackA	0.000149576
ST307	panaroodefault	snippy	aptB_2~~~aptB	0
ST307	panacota	raw	KLPN_ST307-10209	0
ST258	panacota	snippy	KLPN_ST258-10065	3.85548e-06
ST307	panaroodefault	raw	aptB_2~~~aptB	0
ST258	panaroo	snippy	acoA_1~~~acoA_2	9.97337e-06
ST307	roarydefault	raw	acnA	9.28498e-06
ST258	panaroodefault	snippy	acnA	7.13757e-06
ST258	panaroodefault	raw	acnA	1.07457e-05
ST258	panaroo	raw	acoA_1~~~acoA_2	6.49392e-05
ST258	roarydefault	raw	accB	1.024e-05
ST307	panacota	snippy	KLPN_ST307-10209	0
ST307	panaroo	snippy	apxIB	2.64795e-05
ST307	panaroo	raw	araB_2~~~araB_1	3.92084e-06
ST307	panaroodefault	snippy	apxIB	2.64795e-05
ST258	roarydefault	snippy	accA	3.32403e-06
ST258	panacota	raw	KLPN_ST258-10066	1.99121e-06
ST307	panaroodefault	raw	apxIB	3.92029e-05
ST307	panacota	raw	KLPN_ST307-10210	7.63452e-06
ST307	roarydefault	raw	acnB	2.39323e-06
ST307	roarydefault	snippy	acnA	8.38382e-06
ST258	panacota	snippy	KLPN_ST258-10066	4.00206e-05
ST307	panaroo	snippy	araB_2~~~araB_1	5.07826e-06
ST307	panaroo	raw	arfB	4.95426e-05
ST258	panaroo	snippy	acoB	2.63697e-05
ST307	panacota	snippy	KLPN_ST307-10210	7.50009e-06
ST258	panaroodefault	snippy	acoA_1~~~acoA_2	9.97337e-06
ST307	panaroodefault	snippy	araB_2~~~araB_1	5.07826e-06
ST258	roarydefault	raw	accC	1.18329e-06
ST307	panaroodefault	raw	araB_2~~~araB_1	3.92084e-06
ST258	panaroo	raw	acoB	2.33632e-05
ST307	panacota	raw	KLPN_ST307-10211	0
ST258	panaroodefault	raw	acoA_1~~~acoA_2	6.49392e-05
ST307	roarydefault	raw	acoA	0
ST258	panacota	raw	KLPN_ST258-10067	0
ST307	roarydefault	snippy	acnB	2.3759e-06
ST258	roarydefault	snippy	accB	0
ST307	panaroo	raw	argE_1	4.05925e-05
ST307	panaroo	snippy	arfB	4.93365e-05
ST307	panacota	snippy	KLPN_ST307-10211	0
ST307	panaroodefault	snippy	arfB	4.93365e-05
ST307	panaroodefault	raw	arfB	4.95426e-05
ST307	panacota	raw	KLPN_ST307-10212	1.17733e-05
ST258	panacota	snippy	KLPN_ST258-10067	0
ST307	roarydefault	snippy	acoA	0
ST258	panaroo	snippy	acpP	6.7295e-06
ST307	roarydefault	raw	acoB	1.01658e-05
ST258	roarydefault	raw	accD	1.62342e-06
ST258	panaroo	raw	acpP	6.74027e-06
ST258	panaroodefault	snippy	acoB	2.63697e-05
ST307	panaroo	raw	ariR	0
ST258	panaroodefault	raw	acoB	2.33632e-05
ST307	panaroo	snippy	argE_1	3.33737e-05
ST307	panacota	snippy	KLPN_ST307-10212	1.17489e-05
ST307	panaroodefault	snippy	argE_1	3.33737e-05
ST307	panaroodefault	raw	argE_1	4.05925e-05
ST258	panacota	raw	KLPN_ST258-10072	1.41071e-05
ST258	roarydefault	snippy	accC	0
ST307	panacota	raw	KLPN_ST307-10213	4.58559e-06
ST307	roarydefault	snippy	acoB	6.03674e-06
ST307	roarydefault	raw	acoR	1.26567e-05
ST307	panaroo	snippy	ariR	0
ST307	panaroo	raw	arnC_2	0.000214628
ST258	panacota	snippy	KLPN_ST258-10072	8.42509e-06
ST307	panacota	snippy	KLPN_ST307-10213	4.44318e-06
ST258	panaroo	snippy	acpS_1	0
ST258	panaroo	raw	acpS_1	0
ST307	panaroodefault	raw	ariR	0
ST307	panaroodefault	snippy	ariR	0
ST258	roarydefault	raw	aceA	2.42036e-06
ST307	panacota	raw	KLPN_ST307-10214	1.13598e-06
ST258	panaroodefault	snippy	acpP	6.7295e-06
ST307	roarydefault	raw	acpH	0
ST258	panaroodefault	raw	acpP	6.74027e-06
ST307	roarydefault	snippy	acoR	1.2432e-05
ST258	panacota	raw	KLPN_ST258-10073	3.9072e-06
ST307	panaroo	snippy	arnC_2	0.000206885
ST307	panaroo	raw	arnD	2.29279e-06
ST307	panacota	snippy	KLPN_ST307-10214	1.09285e-06
ST258	roarydefault	snippy	accD	1.62083e-06
ST307	panaroodefault	raw	arnC_2	0.000214628
ST307	panaroodefault	snippy	arnC_2	0.000206885
ST307	panacota	raw	KLPN_ST307-10215	3.60542e-06
ST307	roarydefault	raw	acpP	8.73583e-06
ST307	roarydefault	snippy	acpH	0
ST258	panacota	snippy	KLPN_ST258-10073	0
ST258	panaroo	raw	acrA_2~~~acrA_1	1.33789e-06
ST258	roarydefault	raw	aceB	7.94428e-06
ST307	panaroo	raw	arnE	0
ST258	panaroo	snippy	acrA_2~~~acrA_1	2.67365e-06
ST307	panaroo	snippy	arnD	0
ST307	panacota	snippy	KLPN_ST307-10215	3.50303e-06
ST307	panaroodefault	raw	arnD	2.29279e-06
ST258	panaroodefault	snippy	acrA_1	2.67365e-06
ST258	panaroodefault	raw	acrA_1	1.33789e-06
ST307	panaroodefault	snippy	arnD	0
ST307	panacota	raw	KLPN_ST307-10227	0
ST258	panacota	raw	KLPN_ST258-10074	3.3543e-06
ST307	roarydefault	raw	acpS	0
ST307	panaroo	raw	arnF	0.000123022
ST307	roarydefault	snippy	acpP	8.63636e-06
ST307	panaroo	snippy	arnE	0
ST258	roarydefault	snippy	aceA	2.41457e-06
ST307	panacota	snippy	KLPN_ST307-10227	0
ST307	panaroodefault	raw	arnE	0
ST258	panacota	snippy	KLPN_ST258-10074	3.3436e-06
ST307	panaroodefault	snippy	arnE	0
ST307	roarydefault	raw	acrA	0
ST307	panacota	raw	KLPN_ST307-10228	1.05467e-05
ST258	roarydefault	raw	aceE	1.26429e-05
ST258	panaroo	raw	acrB_1~~~acrB_3~~~acrB_2~~~mexB_1	0.000131695
ST307	panaroo	snippy	arnF	0.000122363
ST258	panaroo	snippy	acrB_1~~~acrB_3~~~acrB_2~~~mexB_1	0.000128707
ST307	roarydefault	snippy	acpS	0
ST307	panaroo	raw	arnT_2~~~arnT_1	3.74812e-06
ST307	panaroodefault	raw	arnF	0.000123022
ST258	panacota	raw	KLPN_ST258-10075	5.31986e-06
ST307	panacota	snippy	KLPN_ST307-10228	5.97374e-06
ST258	panaroodefault	snippy	acrB_1~~~acrB_3~~~acrB_2~~~mexB_1	0.000128707
ST258	panaroodefault	raw	acrB_1~~~acrB_3~~~acrB_2~~~mexB_1	0.000131695
ST307	panaroodefault	snippy	arnF	0.000122363
ST258	roarydefault	snippy	aceB	6.97054e-06
ST307	roarydefault	raw	acrB_1	0.000155728
ST307	panacota	raw	KLPN_ST307-10229	7.295e-06
ST307	roarydefault	snippy	acrA	0
ST307	panaroo	raw	aroA_3~~~aroA_4	1.28795e-05
ST307	panaroo	snippy	arnT_2~~~arnT_1	3.72483e-06
ST307	panaroodefault	raw	arnT_2~~~arnT_1	3.74812e-06
ST258	panacota	snippy	KLPN_ST258-10075	1.76056e-06
ST307	panacota	snippy	KLPN_ST307-10229	7.85611e-06
ST258	roarydefault	raw	aceF	3.97105e-05
ST307	panaroodefault	snippy	arnT_2~~~arnT_1	3.72483e-06
ST307	roarydefault	raw	acrB_2	9.20096e-06
ST307	panacota	raw	KLPN_ST307-10230	1.50394e-05
ST258	panaroo	raw	acrB_2~~~ttgB~~~mexB_1~~~acrF_1~~~acrB_1~~~acrB_3	5.47426e-05
ST258	panaroo	snippy	acrB_2~~~ttgB~~~mexB_1~~~acrF_1~~~acrB_1~~~acrB_3	8.2155e-06
ST258	panacota	raw	KLPN_ST258-10076	0
ST307	panaroo	snippy	aroA_3~~~aroA_4	7.95712e-06
ST258	panaroodefault	snippy	acrB_2~~~ttgB~~~mexB_1~~~acrF_1~~~acrB_1~~~acrB_3	8.2155e-06
ST307	panaroo	raw	aroP_2	7.49208e-06
ST307	roarydefault	snippy	acrB_1	0.000153795
ST307	panaroodefault	raw	aroA_3~~~aroA_4	1.28795e-05
ST258	roarydefault	snippy	aceE	1.19574e-05
ST258	panaroodefault	raw	acrB_2~~~ttgB~~~mexB_1~~~acrF_1~~~acrB_1~~~acrB_3	5.47426e-05
ST307	panacota	snippy	KLPN_ST307-10230	1.47898e-05
ST307	panaroodefault	snippy	aroA_3~~~aroA_4	7.95712e-06
ST307	roarydefault	raw	acrE	0
ST307	panacota	raw	KLPN_ST307-10231	8.17656e-06
ST258	panacota	snippy	KLPN_ST258-10076	0
ST307	panaroo	snippy	aroP_2	5.96853e-06
ST307	roarydefault	snippy	acrB_2	8.44434e-06
ST307	panaroodefault	raw	aroP_2	7.49208e-06
ST258	panaroo	raw	acrE_1~~~acrE_2~~~acrE	5.30855e-05
ST307	panaroo	raw	arsB_1	4.54357e-05
ST307	panacota	snippy	KLPN_ST307-10231	8.10618e-06
ST258	roarydefault	raw	aceK	0.000232421
ST307	panaroodefault	snippy	aroP_2	5.96853e-06
ST258	panaroo	snippy	acrE_1~~~acrE_2~~~acrE	4.20044e-06
ST258	panacota	raw	KLPN_ST258-10077	3.4632e-06
ST307	roarydefault	raw	acrF	5.99023e-06
ST258	panaroodefault	snippy	acrE_1~~~acrE_2~~~acrE	4.20044e-06
ST258	roarydefault	snippy	aceF	4.98204e-06
ST307	panacota	raw	KLPN_ST307-10232	1.09281e-05
ST307	panaroo	snippy	arsB_1	4.32001e-05
ST258	panaroodefault	raw	acrE_1~~~acrE_2~~~acrE	5.30855e-05
ST307	roarydefault	snippy	acrE	0
ST307	panaroo	raw	ascG_2	2.16112e-06
ST307	panaroodefault	raw	arsB_1	4.54357e-05
ST307	panaroodefault	snippy	arsB_1	4.32001e-05
ST307	panacota	snippy	KLPN_ST307-10232	9.54692e-06
ST307	roarydefault	raw	acrR_1	4.50945e-05
ST258	panacota	snippy	KLPN_ST258-10077	3.45491e-06
ST307	panaroo	snippy	ascG_2	2.13436e-06
ST307	panacota	raw	KLPN_ST307-10233	0
ST258	panaroo	raw	acrR_1	4.84033e-05
ST307	panaroo	raw	asnS	2.95865e-06
ST307	panaroodefault	raw	ascG_2	2.16112e-06
ST258	panaroo	snippy	acrR_1	4.83633e-05
ST258	roarydefault	raw	ackA	2.65577e-06
ST307	roarydefault	snippy	acrF	5.96201e-06
ST258	panaroodefault	raw	acrR_1	4.84033e-05
ST258	panacota	raw	KLPN_ST258-10078	3.78856e-06
ST258	panaroodefault	snippy	acrR_1	4.83633e-05
ST307	panaroodefault	snippy	ascG_2	2.13436e-06
ST307	panacota	snippy	KLPN_ST307-10233	0
ST307	roarydefault	raw	acrR_2	0
ST258	roarydefault	snippy	aceK	0.000231295
ST307	panaroo	snippy	asnS	2.8791e-06
ST307	panacota	raw	KLPN_ST307-10234	2.70421e-06
ST307	panaroodefault	raw	asnS	2.95865e-06
ST307	panaroo	raw	astB_2~~~astB_1	4.63393e-06
ST258	panacota	snippy	KLPN_ST258-10078	3.75334e-06
ST307	panaroodefault	snippy	asnS	2.8791e-06
ST307	roarydefault	snippy	acrR_1	6.57532e-05
ST307	roarydefault	raw	acrZ	0
ST258	panaroo	raw	acrZ	0
ST307	panacota	snippy	KLPN_ST307-10234	2.6902e-06
ST258	panaroo	snippy	acrZ	0
ST258	roarydefault	raw	acnA	1.07457e-05
ST307	panaroo	snippy	astB_2~~~astB_1	1.4644e-06
ST307	panacota	raw	KLPN_ST307-10235	6.0738e-06
ST307	panaroo	raw	astD_3	6.95708e-06
ST258	panaroodefault	raw	acrZ	0
ST258	panaroodefault	snippy	acrZ	0
ST258	panacota	raw	KLPN_ST258-10079	7.93062e-06
ST307	panaroodefault	raw	astB_2~~~astB_1	4.63393e-06
ST258	roarydefault	snippy	ackA	2.65152e-06
ST307	roarydefault	snippy	acrR_2	0
ST307	panaroodefault	snippy	astB_2~~~astB_1	1.4644e-06
ST307	roarydefault	raw	acsAB	1.51883e-05
ST307	panacota	snippy	KLPN_ST307-10235	6.01691e-06
ST307	panaroo	snippy	astD_3	1.3303e-06
ST307	panacota	raw	KLPN_ST307-10236	6.05378e-06
ST258	panaroo	raw	acsAB~~~bcsA_2	1.20836e-05
ST307	panaroo	raw	atsA_1~~~atsA_2	7.32441e-06
ST258	panacota	snippy	KLPN_ST258-10079	3.95582e-06
ST307	panaroodefault	raw	astD_3	6.95708e-06
